station	lon     	lat     	v_vert	v_std
00NA	130.843987	-12.466640	-0.799	0.308
1LSU	-91.180262	30.407425	-2.413	0.557
1NSU	-93.097604	31.750800	-1.348	0.277
20NA	133.882751	-23.698194	0.309	0.247
21NA	133.879217	-23.766992	0.133	0.186
7ODM	-117.093192	34.116407	2.778	0.445
AARS	4.836118	50.963311	-0.246	0.384
AAUC	9.987267	57.013823	1.860	0.112
AB04	-170.567443	63.656865	0.456	0.606
ABEP	-4.571309	52.139422	0.129	0.311
ABER	-2.080222	57.144007	0.874	0.313
ABGS	99.387521	0.220824	3.280	0.790
ABL1	-99.730451	32.453689	0.359	0.547
ABMS	-88.045061	44.790925	-1.773	0.379
ABPD	-74.098868	4.476566	-0.010	0.819
ABPO	47.229212	-19.018306	0.421	0.202
ABYW	-4.004384	52.424082	-0.323	0.173
AC58	-170.217820	57.156088	1.026	0.760
ACCE	6.988212	44.476184	1.035	0.324
ACNS	-6.352106	41.700051	-0.614	0.367
ACOM	13.514899	46.547934	1.212	0.121
ACP6	-79.407823	9.238476	-1.684	0.822
ACSO	-82.981531	40.232361	-1.380	0.206
ADA1	-96.515502	47.306720	-1.526	0.427
ADAN	35.343714	37.003500	1.805	0.324
ADAR	-4.741335	52.789217	0.285	0.245
ADAX	-1.055594	43.710784	-0.525	0.190
ADE0	-61.086459	16.296864	-1.740	0.341
ADIS	38.766303	9.035135	-1.080	0.256
ADIY	38.229680	37.745860	0.263	0.455
AFAL	12.174515	46.527143	1.374	0.124
AFYN	30.561003	38.738362	-0.130	0.282
AGMT	-116.429377	34.594282	1.022	0.242
AGNE	7.139619	45.467941	0.777	0.174
AGRI	21.409030	38.623995	-0.768	0.785
AGUE	-8.446890	40.575584	-0.197	0.230
AICI	-1.014406	43.333565	-0.535	0.367
AILT	3.355889	47.877011	-0.241	0.289
AIRA	130.599593	31.824061	1.069	0.800
AIRS	-62.213856	16.740827	0.706	0.777
AJAC	8.762615	41.927458	1.310	0.447
AJAL	-2.273605	41.216069	-0.526	0.171
AKDG	35.871644	39.660161	0.431	0.269
AL13	-85.930768	34.603546	-0.318	0.345
AL15	-86.079564	33.990251	-0.675	0.359
AL30	-86.853414	33.532351	-0.158	0.387
AL40	-86.006297	32.962685	-0.414	0.363
AL46	-85.160553	32.325689	-0.115	0.378
AL50	-87.501514	33.167974	-0.643	0.363
AL55	-87.615591	32.711488	-0.072	0.410
AL60	-86.270547	32.411374	-0.246	0.361
AL62	-85.686771	32.148157	-1.201	0.353
AL76	-85.225689	31.874989	-0.969	0.406
AL81	-88.181757	32.575713	-0.666	0.481
AL82	-87.625821	32.257446	-0.693	0.415
AL84	-87.789169	31.700375	-0.498	0.362
AL90	-88.031711	30.690830	-0.307	0.566
AL92	-87.775691	30.916391	-0.254	0.713
ALA1	-85.503925	32.598858	-0.116	0.372
ALAC	-0.481229	38.338920	-0.888	0.270
ALAN	-86.483959	31.307381	-0.859	0.316
ALAR	-36.653420	-9.749224	0.944	0.231
ALAS	-85.830691	33.667002	-0.696	0.395
ALAT	13.383547	41.672896	0.140	0.606
ALBU	-88.233155	32.081644	-0.160	0.437
ALBY	117.810187	-34.950227	-0.661	0.186
ALCH	-88.195883	31.450991	-0.360	0.451
ALCI	38.906100	48.456937	0.837	0.179
ALCL	-86.629836	32.839945	-0.317	0.383
ALCO	-0.473544	38.697987	-0.033	0.147
ALCU	-86.844877	34.179872	-0.036	0.448
