         lon          lat
  -4.112e+01   -7.093e+01
  -3.516e+01   -7.224e+01
  -2.784e+01   -7.259e+01
  -2.297e+01   -7.176e+01
  -1.882e+01   -7.063e+01
  -1.192e+01   -6.906e+01
  -7.468e+00   -6.830e+01
  -2.357e+00   -6.788e+01
   3.830e+00   -6.754e+01
   9.904e+00   -6.677e+01
   1.466e+01   -6.667e+01
   1.939e+01   -6.755e+01
   2.485e+01   -6.761e+01
   2.867e+01   -6.681e+01
   3.052e+01   -6.563e+01
   3.256e+01   -6.443e+01
   3.433e+01   -6.408e+01
   3.611e+01   -6.412e+01
   3.739e+01   -6.485e+01
   3.765e+01   -6.594e+01
   3.882e+01   -6.646e+01
   4.165e+01   -6.637e+01
   4.530e+01   -6.532e+01
   4.855e+01   -6.468e+01
   5.180e+01   -6.430e+01
   5.563e+01   -6.465e+01
   5.873e+01   -6.503e+01
   6.240e+01   -6.534e+01
   6.527e+01   -6.530e+01
   6.866e+01   -6.509e+01
   7.110e+01   -6.509e+01
   7.404e+01   -6.511e+01
   7.920e+01   -6.486e+01
   8.462e+01   -6.439e+01
   8.910e+01   -6.419e+01
   9.196e+01   -6.361e+01
   9.460e+01   -6.293e+01
   9.728e+01   -6.254e+01
   1.011e+02   -6.226e+01
   1.040e+02   -6.267e+01
   1.063e+02   -6.325e+01
   1.093e+02   -6.350e+01
   1.124e+02   -6.334e+01
   1.155e+02   -6.311e+01
   1.174e+02   -6.331e+01
   1.209e+02   -6.406e+01
   1.248e+02   -6.399e+01
   1.276e+02   -6.336e+01
   1.308e+02   -6.296e+01
   1.341e+02   -6.305e+01
   1.369e+02   -6.348e+01
   1.413e+02   -6.392e+01
   1.456e+02   -6.443e+01
   1.499e+02   -6.451e+01
   1.531e+02   -6.466e+01
   1.565e+02   -6.573e+01
   1.585e+02   -6.648e+01
   1.609e+02   -6.745e+01
   1.654e+02   -6.837e+01
   1.669e+02   -6.892e+01
   1.692e+02   -6.928e+01
   1.711e+02   -6.904e+01
   1.734e+02   -6.897e+01
   1.763e+02   -6.901e+01
  -1.790e+02   -6.932e+01
  -1.761e+02   -6.999e+01
  -1.740e+02   -7.128e+01
  -1.727e+02   -7.214e+01
  -1.722e+02   -7.312e+01
  -1.706e+02   -7.405e+01
  -1.656e+02   -7.460e+01
  -1.597e+02   -7.473e+01
  -1.535e+02   -7.431e+01
  -1.476e+02   -7.370e+01
  -1.427e+02   -7.305e+01
  -1.372e+02   -7.251e+01
  -1.328e+02   -7.207e+01
  -1.283e+02   -7.129e+01
  -1.249e+02   -7.132e+01
  -1.219e+02   -7.099e+01
  -1.195e+02   -7.066e+01
  -1.157e+02   -7.003e+01
  -1.123e+02   -7.005e+01
  -1.071e+02   -7.002e+01
  -1.031e+02   -6.988e+01
  -9.853e+01   -6.973e+01
  -9.490e+01   -6.974e+01
  -9.141e+01   -6.963e+01
  -8.726e+01   -6.908e+01
  -8.310e+01   -6.842e+01
  -7.878e+01   -6.757e+01
  -7.340e+01   -6.586e+01
  -6.904e+01   -6.430e+01
  -6.651e+01   -6.356e+01
  -6.498e+01   -6.297e+01
  -6.331e+01   -6.216e+01
  -6.145e+01   -6.150e+01
  -5.967e+01   -6.117e+01
  -5.784e+01   -6.104e+01
  -5.692e+01   -6.085e+01
  -5.546e+01   -6.037e+01
  -5.385e+01   -5.980e+01
  -5.226e+01   -5.979e+01
  -5.099e+01   -5.983e+01
  -4.965e+01   -5.978e+01
  -4.868e+01   -5.929e+01
  -4.789e+01   -5.847e+01
  -4.663e+01   -5.768e+01
  -4.545e+01   -5.760e+01
  -4.455e+01   -5.796e+01
  -4.266e+01   -5.815e+01
  -4.135e+01   -5.808e+01
  -3.945e+01   -5.849e+01
  -3.841e+01   -5.898e+01
  -3.793e+01   -5.950e+01
  -3.797e+01   -5.987e+01
  -3.819e+01   -6.022e+01
  -3.880e+01   -6.080e+01
  -3.975e+01   -6.143e+01
  -4.118e+01   -6.223e+01
  -4.237e+01   -6.284e+01
  -4.486e+01   -6.346e+01
  -4.703e+01   -6.384e+01
  -4.938e+01   -6.441e+01
  -5.097e+01   -6.503e+01
  -5.178e+01   -6.609e+01
  -5.272e+01   -6.705e+01
  -5.242e+01   -6.786e+01
  -5.166e+01   -6.865e+01
  -5.140e+01   -6.977e+01
  -4.931e+01   -7.070e+01
  -4.617e+01   -7.109e+01
  -4.411e+01   -7.125e+01
  -4.245e+01   -7.114e+01
