         lon          lat
  -5.036e+01   -7.338e+01
  -4.548e+01   -7.460e+01
  -4.107e+01   -7.537e+01
  -3.672e+01   -7.560e+01
  -3.149e+01   -7.545e+01
  -2.816e+01   -7.526e+01
  -2.533e+01   -7.481e+01
  -2.078e+01   -7.376e+01
  -1.647e+01   -7.276e+01
  -1.306e+01   -7.182e+01
  -8.936e+00   -7.120e+01
  -5.859e+00   -7.079e+01
  -3.484e+00   -7.050e+01
  -1.188e+00   -7.021e+01
   5.268e-01   -7.017e+01
   2.816e+00   -7.051e+01
   6.355e+00   -7.064e+01
   1.042e+01   -7.035e+01
   1.304e+01   -7.021e+01
   1.596e+01   -7.028e+01
   1.965e+01   -7.035e+01
   2.430e+01   -7.039e+01
   2.814e+01   -7.000e+01
   3.228e+01   -6.953e+01
   3.490e+01   -6.907e+01
   3.847e+01   -6.878e+01
   4.163e+01   -6.809e+01
   4.417e+01   -6.769e+01
   4.660e+01   -6.706e+01
   4.848e+01   -6.671e+01
   5.093e+01   -6.610e+01
   5.236e+01   -6.572e+01
   5.433e+01   -6.566e+01
   5.595e+01   -6.586e+01
   5.664e+01   -6.615e+01
   5.802e+01   -6.635e+01
   5.877e+01   -6.653e+01
   6.041e+01   -6.691e+01
   6.243e+01   -6.694e+01
   6.399e+01   -6.700e+01
   6.608e+01   -6.714e+01
   6.978e+01   -6.738e+01
   7.296e+01   -6.751e+01
   7.582e+01   -6.755e+01
   7.752e+01   -6.729e+01
   7.937e+01   -6.685e+01
   8.079e+01   -6.645e+01
   8.254e+01   -6.624e+01
   8.427e+01   -6.637e+01
   8.636e+01   -6.639e+01
   8.901e+01   -6.635e+01
   9.076e+01   -6.604e+01
   9.171e+01   -6.568e+01
   9.338e+01   -6.539e+01
   9.562e+01   -6.544e+01
   9.826e+01   -6.540e+01
   1.003e+02   -6.517e+01
   1.014e+02   -6.513e+01
   1.030e+02   -6.489e+01
   1.041e+02   -6.519e+01
   1.061e+02   -6.542e+01
   1.072e+02   -6.556e+01
   1.093e+02   -6.573e+01
   1.113e+02   -6.580e+01
   1.133e+02   -6.570e+01
   1.158e+02   -6.566e+01
   1.182e+02   -6.617e+01
   1.219e+02   -6.621e+01
   1.252e+02   -6.585e+01
   1.267e+02   -6.541e+01
   1.288e+02   -6.540e+01
   1.309e+02   -6.523e+01
   1.334e+02   -6.528e+01
   1.360e+02   -6.572e+01
   1.387e+02   -6.580e+01
   1.424e+02   -6.596e+01
   1.448e+02   -6.633e+01
   1.477e+02   -6.673e+01
   1.501e+02   -6.766e+01
   1.530e+02   -6.790e+01
   1.555e+02   -6.836e+01
   1.567e+02   -6.864e+01
   1.578e+02   -6.901e+01
   1.590e+02   -6.927e+01
   1.604e+02   -6.950e+01
   1.610e+02   -6.967e+01
   1.617e+02   -6.994e+01
   1.629e+02   -7.021e+01
   1.639e+02   -7.017e+01
   1.653e+02   -7.025e+01
   1.667e+02   -7.037e+01
   1.677e+02   -7.054e+01
   1.683e+02   -7.082e+01
   1.690e+02   -7.104e+01
   1.701e+02   -7.120e+01
   1.705e+02   -7.140e+01
   1.715e+02   -7.200e+01
   1.728e+02   -7.246e+01
   1.752e+02   -7.321e+01
   1.769e+02   -7.388e+01
   1.776e+02   -7.443e+01
   1.795e+02   -7.544e+01
  -1.635e+02   -7.695e+01
  -1.564e+02   -7.675e+01
  -1.533e+02   -7.652e+01
  -1.495e+02   -7.618e+01
  -1.447e+02   -7.552e+01
  -1.417e+02   -7.508e+01
  -1.392e+02   -7.472e+01
  -1.381e+02   -7.451e+01
  -1.363e+02   -7.444e+01
  -1.332e+02   -7.395e+01
  -1.308e+02   -7.357e+01
  -1.283e+02   -7.328e+01
  -1.265e+02   -7.295e+01
  -1.219e+02   -7.295e+01
  -1.193e+02   -7.292e+01
  -1.161e+02   -7.276e+01
  -1.098e+02   -7.185e+01
  -1.046e+02   -7.184e+01
  -1.007e+02   -7.161e+01
  -9.437e+01   -7.142e+01
  -8.916e+01   -7.138e+01
  -8.155e+01   -7.014e+01
  -7.375e+01   -6.853e+01
  -7.052e+01   -6.711e+01
  -6.784e+01   -6.571e+01
  -6.488e+01   -6.430e+01
  -6.269e+01   -6.338e+01
  -6.173e+01   -6.291e+01
  -6.042e+01   -6.237e+01
  -5.921e+01   -6.205e+01
  -5.771e+01   -6.187e+01
  -5.598e+01   -6.154e+01
  -5.470e+01   -6.143e+01
  -5.415e+01   -6.151e+01
  -5.415e+01   -6.210e+01
  -5.500e+01   -6.259e+01
  -5.464e+01   -6.328e+01
  -5.513e+01   -6.434e+01
  -5.657e+01   -6.508e+01
  -5.775e+01   -6.743e+01
  -5.778e+01   -6.933e+01
  -5.654e+01   -7.114e+01
  -5.492e+01   -7.220e+01
  -5.233e+01   -7.303e+01
