         lon          lat
   1.576e+02    8.880e+01
   1.223e+02    7.891e+01
   1.195e+02    7.679e+01
   1.105e+02    7.437e+01
   9.264e+01    7.105e+01
   8.707e+01    6.975e+01
   7.881e+01    6.580e+01
   7.973e+01    6.303e+01
   7.945e+01    5.886e+01
   8.372e+01    5.690e+01
   8.818e+01    5.692e+01
   9.222e+01    5.724e+01
   9.678e+01    5.690e+01
   9.949e+01    5.632e+01
   1.011e+02    5.549e+01
   1.032e+02    5.425e+01
   1.034e+02    5.431e+01
   1.734e+02    5.142e+01
   1.767e+02    4.967e+01
   1.780e+02    4.954e+01
   1.797e+02    5.023e+01
   1.797e+02    5.093e+01
   1.800e+02    5.148e+01
  -1.795e+02    5.227e+01
  -1.782e+02    5.340e+01
  -1.763e+02    5.537e+01
  -1.746e+02    5.683e+01
  -1.730e+02    5.813e+01
  -1.713e+02    5.951e+01
  -1.684e+02    6.190e+01
  -1.675e+02    6.343e+01
  -1.680e+02    6.423e+01
  -1.689e+02    6.523e+01
  -1.679e+02    6.630e+01
  -1.675e+02    6.710e+01
  -1.686e+02    6.761e+01
  -1.696e+02    6.832e+01
  -1.706e+02    6.851e+01
  -1.700e+02    6.927e+01
  -1.693e+02    6.987e+01
  -1.657e+02    7.117e+01
  -1.603e+02    7.222e+01
  -1.559e+02    7.288e+01
  -1.523e+02    7.367e+01
  -1.496e+02    7.421e+01
  -1.469e+02    7.513e+01
  -1.453e+02    7.632e+01
  -1.477e+02    7.845e+01
  -1.530e+02    8.003e+01
  -1.587e+02    8.119e+01
  -1.691e+02    8.227e+01
  -1.754e+02    8.310e+01
  -1.791e+02    8.364e+01
   1.774e+02    8.419e+01
   1.744e+02    8.499e+01
   1.778e+02    8.667e+01
   1.713e+02    8.805e+01
   1.623e+02    8.849e+01
