         lon          lat
   3.118e+00    7.331e+01
   1.087e+01    7.333e+01
   1.589e+01    7.295e+01
   1.958e+01    7.250e+01
   2.270e+01    7.155e+01
   2.371e+01    7.110e+01
   2.833e+01    7.118e+01
   3.103e+01    7.068e+01
   3.144e+01    7.011e+01
   3.210e+01    6.993e+01
   3.475e+01    6.971e+01
   3.821e+01    6.876e+01
   4.137e+01    6.766e+01
   4.221e+01    6.661e+01
   4.531e+01    6.461e+01
   4.816e+01    6.369e+01
   5.481e+01    6.057e+01
   5.823e+01    5.907e+01
   6.105e+01    5.749e+01
   6.403e+01    5.603e+01
   6.580e+01    5.495e+01
   6.836e+01    5.321e+01
   7.033e+01    5.202e+01
   7.279e+01    5.084e+01
   1.142e+02    6.953e+01
   1.191e+02    7.662e+01
   1.174e+02    7.981e+01
   1.015e+02    8.364e+01
   7.207e+01    8.534e+01
   2.150e+01    8.422e+01
   7.319e+00    8.284e+01
   1.364e+00    8.179e+01
   4.341e-01    8.140e+01
   5.989e-01    8.065e+01
   1.507e+00    8.010e+01
   1.567e+00    7.929e+01
   1.591e+00    7.829e+01
   2.278e+00    7.773e+01
   4.136e+00    7.693e+01
   4.664e+00    7.602e+01
   4.435e+00    7.448e+01
   4.329e+00    7.368e+01
