         lon          lat
  -6.214e+00    6.420e+01
  -4.345e+00    6.374e+01
  -3.165e+00    6.328e+01
  -1.966e+00    6.290e+01
  -5.293e-01    6.227e+01
   1.960e-01    6.193e+01
   1.025e+00    6.140e+01
   1.057e+00    6.057e+01
   1.135e+00    5.941e+01
   1.383e+00    5.835e+01
   1.509e+00    5.741e+01
   1.893e+00    5.638e+01
   2.531e+00    5.556e+01
   3.188e+00    5.420e+01
   3.355e+00    5.333e+01
   3.225e+00    5.248e+01
   2.400e+00    5.168e+01
   1.523e+00    5.100e+01
   4.076e-01    5.031e+01
  -1.802e-01    5.011e+01
  -1.443e+00    5.016e+01
  -2.291e+00    5.000e+01
  -4.092e+00    4.961e+01
  -5.606e+00    4.901e+01
  -7.114e+00    4.815e+01
  -8.333e+00    4.760e+01
  -9.777e+00    4.707e+01
  -1.097e+01    4.666e+01
  -1.244e+01    4.599e+01
  -1.404e+01    4.523e+01
  -1.474e+01    4.493e+01
  -1.537e+01    4.496e+01
  -1.623e+01    4.557e+01
  -1.721e+01    4.658e+01
  -2.035e+01    4.906e+01
  -2.415e+01    5.128e+01
  -2.609e+01    5.246e+01
  -2.694e+01    5.316e+01
  -2.720e+01    5.405e+01
  -2.553e+01    5.622e+01
  -2.189e+01    5.824e+01
  -1.905e+01    5.979e+01
  -1.706e+01    6.050e+01
  -1.456e+01    6.126e+01
  -1.225e+01    6.165e+01
  -1.036e+01    6.189e+01
  -7.159e+00    6.324e+01
