         lon          lat
   1.141e+02    6.975e+01
   1.196e+02    7.665e+01
   1.182e+02    8.009e+01
   1.046e+02    8.380e+01
  -6.535e-01    8.143e+01
   4.559e-01    7.774e+01
   3.705e+00    7.642e+01
   2.918e+00    7.156e+01
  -8.966e-02    6.936e+01
   5.116e-01    6.832e+01
  -8.024e-01    6.700e+01
  -5.287e+00    6.489e+01
  -7.408e+00    6.338e+01
  -1.033e+01    6.199e+01
  -1.316e+01    6.161e+01
  -1.789e+01    6.027e+01
  -2.560e+01    5.623e+01
  -2.731e+01    5.398e+01
  -2.667e+01    5.258e+01
  -2.026e+01    4.898e+01
  -1.629e+01    4.550e+01
  -1.515e+01    4.419e+01
  -1.459e+01    4.133e+01
  -6.369e+00    3.645e+01
   7.250e+01    5.094e+01
   1.143e+02    6.987e+01
