         lon          lat
  -7.498e+01    7.758e+01
  -7.403e+01    7.806e+01
  -7.241e+01    7.880e+01
  -7.069e+01    7.917e+01
  -6.940e+01    7.964e+01
  -6.813e+01    8.004e+01
  -6.762e+01    8.042e+01
  -6.680e+01    8.082e+01
  -6.459e+01    8.134e+01
  -6.264e+01    8.164e+01
  -5.969e+01    8.219e+01
  -5.791e+01    8.258e+01
  -5.414e+01    8.332e+01
  -5.083e+01    8.365e+01
  -4.722e+01    8.405e+01
  -4.596e+01    8.451e+01
  -4.619e+01    8.557e+01
  -4.647e+01    8.820e+01
  -1.490e+02    8.981e+01
   1.673e+02    8.836e+01
  -1.728e+02    8.766e+01
  -1.632e+02    8.717e+01
  -1.498e+02    8.585e+01
  -1.462e+02    8.525e+01
  -1.425e+02    8.470e+01
  -1.327e+02    8.418e+01
  -1.306e+02    8.403e+01
  -1.203e+02    8.271e+01
  -1.114e+02    8.125e+01
  -1.106e+02    8.029e+01
  -1.090e+02    7.889e+01
  -1.077e+02    7.799e+01
  -1.066e+02    7.678e+01
  -1.048e+02    7.592e+01
  -1.027e+02    7.539e+01
  -9.956e+01    7.457e+01
  -9.726e+01    7.433e+01
  -9.440e+01    7.435e+01
  -9.238e+01    7.435e+01
  -8.564e+01    7.422e+01
  -8.007e+01    7.419e+01
  -7.599e+01    7.405e+01
  -7.215e+01    7.392e+01
  -6.955e+01    7.421e+01
  -6.755e+01    7.445e+01
  -6.731e+01    7.453e+01
  -6.883e+01    7.534e+01
  -7.014e+01    7.594e+01
  -7.114e+01    7.623e+01
  -7.217e+01    7.642e+01
  -7.342e+01    7.668e+01
  -7.449e+01    7.711e+01
