         lon          lat
  -2.429e+01    8.413e+01
  -2.042e+01    8.346e+01
  -1.417e+01    8.334e+01
  -1.068e+01    8.297e+01
  -7.035e+00    8.228e+01
  -3.981e+00    8.109e+01
  -3.089e+00    7.973e+01
  -3.234e+00    7.847e+01
  -3.754e+00    7.759e+01
  -5.373e+00    7.681e+01
  -7.258e+00    7.612e+01
  -1.036e+01    7.538e+01
  -1.217e+01    7.476e+01
  -1.375e+01    7.417e+01
  -1.476e+01    7.370e+01
  -1.556e+01    7.285e+01
  -1.673e+01    7.211e+01
  -1.831e+01    7.125e+01
  -1.813e+01    7.087e+01
  -1.795e+01    7.049e+01
  -1.843e+01    6.987e+01
  -1.973e+01    6.924e+01
  -2.112e+01    6.869e+01
  -2.309e+01    6.836e+01
  -2.475e+01    6.774e+01
  -2.567e+01    6.702e+01
  -2.695e+01    6.621e+01
  -2.805e+01    6.551e+01
  -2.945e+01    6.491e+01
  -3.266e+01    6.429e+01
  -3.470e+01    6.385e+01
  -3.629e+01    6.334e+01
  -3.769e+01    6.259e+01
  -3.899e+01    6.192e+01
  -3.991e+01    6.096e+01
  -4.078e+01    5.995e+01
  -4.233e+01    5.900e+01
  -4.524e+01    5.818e+01
  -4.671e+01    5.971e+01
  -4.867e+01    6.040e+01
  -5.024e+01    6.125e+01
  -5.101e+01    6.192e+01
  -5.241e+01    6.294e+01
  -5.366e+01    6.348e+01
  -5.459e+01    6.386e+01
  -5.689e+01    6.465e+01
  -5.731e+01    6.547e+01
  -5.784e+01    6.624e+01
  -5.857e+01    6.708e+01
  -6.012e+01    6.780e+01
  -6.135e+01    6.860e+01
  -6.242e+01    6.970e+01
  -6.326e+01    7.073e+01
  -6.420e+01    7.163e+01
  -6.556e+01    7.277e+01
  -6.656e+01    7.353e+01
  -7.097e+01    7.428e+01
  -7.404e+01    7.431e+01
  -7.892e+01    7.446e+01
  -8.345e+01    7.436e+01
  -8.726e+01    7.438e+01
  -8.952e+01    7.443e+01
  -9.144e+01    7.449e+01
  -9.271e+01    7.492e+01
  -9.312e+01    7.569e+01
  -9.583e+01    7.625e+01
  -9.817e+01    7.696e+01
  -1.017e+02    7.729e+01
  -1.047e+02    7.786e+01
  -1.066e+02    7.896e+01
  -1.036e+02    8.029e+01
  -9.735e+01    8.185e+01
  -8.917e+01    8.325e+01
  -8.197e+01    8.486e+01
  -7.818e+01    8.570e+01
  -7.361e+01    8.653e+01
  -5.974e+01    8.728e+01
  -4.182e+01    8.667e+01
  -3.593e+01    8.561e+01
  -2.164e+01    8.558e+01
  -1.595e+01    8.573e+01
  -1.020e+01    8.539e+01
  -1.189e+01    8.493e+01
  -1.543e+01    8.449e+01
  -2.007e+01    8.420e+01

