         lon          lat
  -6.964e+01    7.415e+01
  -8.429e+01    7.114e+01
  -8.390e+01    6.963e+01
  -8.433e+01    6.812e+01
  -8.663e+01    6.696e+01
  -9.069e+01    6.584e+01
  -9.455e+01    6.411e+01
  -9.562e+01    6.285e+01
  -9.631e+01    6.176e+01
  -9.704e+01    6.055e+01
  -9.715e+01    5.950e+01
  -9.657e+01    5.883e+01
  -9.519e+01    5.768e+01
  -9.365e+01    5.657e+01
  -9.220e+01    5.607e+01
  -9.091e+01    5.591e+01
  -8.723e+01    5.459e+01
  -8.543e+01    5.358e+01
  -8.410e+01    5.261e+01
  -8.292e+01    5.150e+01
  -8.128e+01    5.027e+01
  -8.009e+01    4.976e+01
  -7.852e+01    4.972e+01
  -7.709e+01    5.026e+01
  -7.607e+01    5.124e+01
  -7.565e+01    5.226e+01
  -7.561e+01    5.319e+01
  -7.503e+01    5.460e+01
  -7.476e+01    5.552e+01
  -7.402e+01    5.624e+01
  -7.157e+01    5.705e+01
  -6.927e+01    5.731e+01
  -6.699e+01    5.701e+01
  -6.515e+01    5.726e+01
  -6.341e+01    5.767e+01
  -6.137e+01    5.837e+01
  -5.889e+01    5.921e+01
  -5.739e+01    5.992e+01
  -5.344e+01    6.133e+01
  -6.311e+01    7.450e+01
