         lon          lat
  -2.471e+01    6.778e+01
  -2.347e+01    6.837e+01
  -2.215e+01    6.861e+01
  -2.092e+01    6.885e+01
  -1.926e+01    6.877e+01
  -1.792e+01    6.973e+01
  -1.717e+01    7.061e+01
  -1.634e+01    7.148e+01
  -1.500e+01    7.223e+01
  -1.378e+01    7.259e+01
  -1.152e+01    7.297e+01
  -9.142e+00    7.287e+01
  -6.809e+00    7.251e+01
  -4.100e+00    7.189e+01
  -1.341e+00    7.066e+01
  -3.366e+00    6.911e+01
  -4.021e+00    6.748e+01
  -4.279e+00    6.628e+01
  -4.788e+00    6.535e+01
  -6.151e+00    6.423e+01
  -6.926e+00    6.366e+01
  -7.372e+00    6.326e+01
  -8.454e+00    6.275e+01
  -9.818e+00    6.203e+01
  -1.054e+01    6.184e+01
  -1.293e+01    6.154e+01
  -1.502e+01    6.113e+01
  -1.699e+01    6.121e+01
  -2.136e+01    6.028e+01
  -2.346e+01    5.918e+01
  -2.619e+01    5.778e+01
  -2.921e+01    5.651e+01
  -3.138e+01    5.521e+01
  -3.194e+01    5.438e+01
  -3.362e+01    5.208e+01
  -3.535e+01    5.177e+01
  -3.746e+01    5.201e+01
  -3.848e+01    5.305e+01
  -3.855e+01    5.529e+01
  -3.820e+01    5.698e+01
  -3.771e+01    5.841e+01
  -3.636e+01    5.939e+01
  -3.480e+01    6.040e+01
  -3.335e+01    6.199e+01
  -3.132e+01    6.371e+01
  -3.002e+01    6.470e+01
  -2.888e+01    6.511e+01
  -2.792e+01    6.568e+01
  -2.610e+01    6.679e+01
  -2.525e+01    6.734e+01
