         lon          lat
  -6.656e+01    7.353e+01
  -6.847e+01    7.479e+01
  -6.976e+01    7.564e+01
  -7.063e+01    7.619e+01
  -7.252e+01    7.637e+01
  -7.380e+01    7.684e+01
  -7.472e+01    7.729e+01
  -7.448e+01    7.785e+01
  -7.263e+01    7.889e+01
  -7.044e+01    7.950e+01
  -6.886e+01    7.998e+01
  -6.706e+01    8.056e+01
  -6.501e+01    8.098e+01
  -6.294e+01    8.162e+01
  -6.017e+01    8.207e+01
  -5.834e+01    8.261e+01
  -5.837e+01    8.322e+01
  -5.809e+01    8.389e+01
  -4.778e+01    8.524e+01
  -4.277e+01    8.644e+01
  -4.288e+01    8.751e+01
   1.445e+02    8.944e+01
   1.616e+02    8.835e+01
   1.751e+02    8.735e+01
   1.734e+02    8.547e+01
   1.765e+02    8.409e+01
  -1.760e+02    8.291e+01
  -1.683e+02    8.195e+01
  -1.602e+02    8.114e+01
  -1.517e+02    7.957e+01
  -1.476e+02    7.821e+01
  -1.456e+02    7.630e+01
  -1.456e+02    7.505e+01
  -1.497e+02    7.411e+01
  -1.523e+02    7.363e+01
  -1.648e+02    7.122e+01
  -1.697e+02    6.987e+01
  -1.706e+02    6.829e+01
  -1.684e+02    6.730e+01
  -1.673e+02    6.666e+01
  -1.692e+02    6.558e+01
  -1.688e+02    6.437e+01
  -1.676e+02    6.336e+01
  -1.681e+02    6.241e+01
  -1.699e+02    6.091e+01
  -1.725e+02    5.886e+01
  -1.750e+02    5.619e+01
  -1.765e+02    5.514e+01
  -1.783e+02    5.346e+01
  -1.793e+02    5.256e+01
   1.800e+02    5.186e+01
   1.797e+02    5.125e+01
   1.795e+02    5.060e+01
  -1.796e+02    4.979e+01
  -1.739e+02    4.976e+01
  -1.670e+02    5.091e+01
  -1.638e+02    5.145e+01
  -1.528e+02    5.155e+01
  -1.471e+02    5.022e+01
  -1.419e+02    4.855e+01
  -1.384e+02    4.726e+01
  -1.323e+02    4.680e+01
  -8.722e+01    2.897e+01
  -4.171e+01    4.282e+01
  -4.155e+01    4.957e+01
  -4.295e+01    5.259e+01
  -4.566e+01    5.482e+01
  -4.937e+01    5.702e+01
  -5.091e+01    5.810e+01
  -5.329e+01    5.964e+01
  -5.484e+01    6.167e+01
  -5.585e+01    6.327e+01
  -5.665e+01    6.413e+01
  -5.689e+01    6.465e+01
  -5.731e+01    6.547e+01
  -5.784e+01    6.624e+01
  -5.857e+01    6.708e+01
  -6.012e+01    6.780e+01
  -6.135e+01    6.860e+01
  -6.242e+01    6.970e+01
  -6.326e+01    7.073e+01
  -6.420e+01    7.163e+01
  -6.556e+01    7.277e+01
