         lon          lat
   1.369e+01    8.352e+01
   2.391e+01    8.308e+01
   3.009e+01    8.194e+01
   3.451e+01    8.115e+01
   3.675e+01    8.037e+01
   3.676e+01    7.972e+01
   3.257e+01    7.846e+01
   2.776e+01    7.743e+01
   2.324e+01    7.674e+01
   1.843e+01    7.613e+01
   1.257e+01    7.553e+01
   1.081e+01    7.546e+01
   8.094e+00    7.547e+01
   5.685e+00    7.558e+01
   3.743e+00    7.607e+01
   1.595e+00    7.716e+01
   4.897e-01    7.858e+01
   3.794e-01    8.017e+01
  -4.152e-01    8.101e+01
  -6.585e-01    8.150e+01
   3.748e+00    8.252e+01
   1.001e+01    8.325e+01
   1.404e+01    8.355e+01
