         lon          lat
  -2.429e+01    8.413e+01
  -2.042e+01    8.346e+01
  -1.417e+01    8.334e+01
  -1.068e+01    8.297e+01
  -7.035e+00    8.228e+01
  -3.981e+00    8.109e+01
  -3.089e+00    7.973e+01
  -3.234e+00    7.847e+01
  -3.754e+00    7.759e+01
  -5.373e+00    7.681e+01
  -7.258e+00    7.612e+01
  -1.036e+01    7.538e+01
  -1.217e+01    7.476e+01
  -1.375e+01    7.417e+01
  -1.476e+01    7.370e+01
  -1.556e+01    7.285e+01
  -1.673e+01    7.211e+01
  -1.831e+01    7.125e+01
  -1.813e+01    7.087e+01
  -1.795e+01    7.049e+01
  -1.843e+01    6.987e+01
  -1.973e+01    6.924e+01
  -2.112e+01    6.869e+01
  -2.309e+01    6.836e+01
  -2.475e+01    6.774e+01
  -2.567e+01    6.702e+01
  -2.695e+01    6.621e+01
  -2.805e+01    6.551e+01
  -2.945e+01    6.491e+01
  -3.266e+01    6.429e+01
  -3.470e+01    6.385e+01
  -3.629e+01    6.334e+01
  -3.769e+01    6.259e+01
  -3.899e+01    6.192e+01
  -3.991e+01    6.096e+01
  -4.078e+01    5.995e+01
  -4.233e+01    5.900e+01
  -4.524e+01    5.818e+01
  -4.671e+01    5.971e+01
  -4.867e+01    6.040e+01
  -5.024e+01    6.125e+01
  -5.101e+01    6.192e+01
  -5.241e+01    6.294e+01
  -5.366e+01    6.348e+01
  -5.459e+01    6.386e+01
  -5.689e+01    6.465e+01
  -5.731e+01    6.547e+01
  -5.784e+01    6.624e+01
  -5.857e+01    6.708e+01
  -6.012e+01    6.780e+01
  -6.135e+01    6.860e+01
  -6.242e+01    6.970e+01
  -6.326e+01    7.073e+01
  -6.420e+01    7.163e+01
  -6.556e+01    7.277e+01
  -6.656e+01    7.353e+01
  -6.677e+01    7.429e+01
  -6.937e+01    7.553e+01
  -7.122e+01    7.617e+01
  -7.341e+01    7.657e+01
  -7.477e+01    7.713e+01
  -7.524e+01    7.749e+01
  -7.493e+01    7.774e+01
  -7.469e+01    7.793e+01
  -7.356e+01    7.816e+01
  -7.319e+01    7.841e+01
  -7.178e+01    7.897e+01
  -7.068e+01    7.938e+01
  -6.886e+01    7.998e+01
  -6.783e+01    8.051e+01
